Gene_ID,Name,s_frt82b_1,s_frt82b_2,s_frt82b_3,s_wda_1,s_wda_2,s_wda_3
FBgn0000003,7SLRNA:CR32864,4.65,5.88,3.61,17.25,10.7,17.75
FBgn0000008,a,6.63,7.88,8.24,9.99,11.37,9.36
FBgn0000014,abd-A,0.97,1.12,0.93,24.55,19.18,17.3
FBgn0000015,Abd-B,0.09,0.1,0.05,1.54,0.94,1.1
FBgn0000017,Abl,34.59,34.9,40.72,14.01,15.65,12.16
FBgn0000018,abo,13.61,13.2,15.23,13.63,14.19,12.72
FBgn0000022,ac,0,0,0,0,0,0
FBgn0000024,Ace,0.45,0.34,0.45,1.21,0.89,0.92
FBgn0000028,acj6,0.01,0,0.01,0.03,0,0.01
FBgn0000032,Acph-1,141.69,139.18,140.26,72.93,73.86,68.36
FBgn0000036,nAChRalpha1,0,0,0.02,0,0,0
FBgn0000037,mAChR-A,0,0.01,0.02,0.08,0.06,0.09
FBgn0000038,nAChRbeta1,0.46,0.51,0.69,1.42,1.74,1.99
FBgn0000039,nAChRalpha2,0,0,0,0,0,0
FBgn0000042,Act5C,3317.18,3174.85,3505.43,3078.02,3112.05,2846.67
FBgn0000043,Act42A,630.21,626.14,618.04,1437.19,1395.32,1312.31
FBgn0000044,Act57B,31.69,33.22,30.27,1100.84,619.02,564.45
FBgn0000045,Act79B,0.05,0.02,0.09,0.06,0.06,0.11
FBgn0000046,Act87E,2.36,1.94,3,48.2,24.75,21.17
FBgn0000047,Act88F,0.03,0.06,0.09,0.17,0.04,0.06
FBgn0000052,Pfas,55.14,57.71,56.13,49.51,60.86,54.22
FBgn0000053,Gart,83.6,83.52,87.27,67.57,77.38,79.12
FBgn0000055,Adh,735.4,759.02,783.18,371.34,373.6,361.33
FBgn0000056,Adhr,1.44,1.28,1.44,1.38,1.3,1.45
FBgn0000057,adp,31.23,30.75,34.25,20.1,22.9,20.37
FBgn0000061,al,0,0,0,0,0,0
FBgn0000063,Mps1,30.92,32.33,36.76,6.15,6.75,6.69
FBgn0000064,Ald,273.85,303.39,292.69,222.87,250.72,212.5
FBgn0000071,Ama,0,0.02,0,0,0.02,0
FBgn0000075,amd,17.71,19.76,21.83,1.7,2.28,2.93
FBgn0000077,amx,23.57,23.87,24.13,17.74,19.98,20.27
FBgn0000078,Amy-d,0.21,0,0.04,0.05,0.34,9.94
FBgn0000079,Amy-p,0,0.18,0.04,0.15,0.19,12.07
FBgn0000083,AnxB9,165.31,164.03,161.81,593.82,483.51,526.63
FBgn0000084,AnxB10,76.95,84.4,78.34,111.28,109.49,112.52
FBgn0000092,CG2650,0.04,0.06,0,0.18,0.2,0.4
FBgn0000094,Anp,0,0,0,0,0,0
FBgn0000097,aop,28.49,29.97,33.49,36.2,42.66,32.51
FBgn0000100,RpLP0,2815.57,2995.21,2850.89,3221.36,3856.61,3546.07
FBgn0000108,Appl,1.02,1.21,1.17,0.42,0.58,0.51
FBgn0000109,Aprt,34.71,29.23,34.08,39.53,36.28,30.4
FBgn0000114,bru1,495.28,503.06,558.13,186.77,256.13,226.02
FBgn0000115,Arl1,105.6,107.51,110.78,118.71,113.66,100.84
FBgn0000116,Argk,164.88,162.56,179.98,458.75,399.25,367.66
FBgn0000117,arm,240.03,253.49,271.48,229.56,258.07,230.81
FBgn0000119,arr,3.38,3.79,3.51,9.42,9.31,8.11
FBgn0000120,Arr1,0,0,0,0.03,0.07,0.16
FBgn0000121,Arr2,0,0,0,0.12,0,0.26
FBgn0000137,ase,0,0,0,0,0,0
FBgn0000139,ash2,50.46,45.19,48.12,50.2,50.86,50.93
FBgn0000140,asp,69.7,74.33,75,8.67,10.15,8.03
FBgn0000146,aub,85.25,81.79,87.92,59.4,72.03,63.2
FBgn0000147,aurA,72.97,70.51,69.05,16.27,16.39,15.87
FBgn0000150,awd,3397.08,3520.58,3293.22,2963.88,3264.07,3416.27
FBgn0000152,Axs,18.87,19.52,20.04,11.14,10.88,13.61
